UniProt_Accession,Gene_Name,GO_Identifier,GO_Term,Protein_Name,Synonyms,Confidence_Level,MC_PMID
Q9HC35,EML4,GO:0072686|GO:0005737|GO:0016020|GO:0000226|GO:0000278|GO:0003674|GO:0005874|GO:0007017|GO:0008017,mitotic spindle|cytoplasm|membrane|microtubule cytoskeleton organization|mitotic cell cycle|molecular_function|microtubule|microtubule-based process|microtubule binding,Echinoderm microtubule-associated protein-like 4,C2orf2|EMAPL4,4,
Q7RTN6,STRADA,GO:0007050|GO:0043539|GO:0031098|GO:0030295|GO:0006611|GO:0004674|GO:0023014|GO:0007346|GO:0005654|GO:0005524|GO:0005634|GO:0005515|GO:0005737|GO:0005829|GO:0032147|GO:0071902|GO:0019900,cell cycle arrest|protein serine/threonine kinase activator activity|stress-activated protein kinase signaling cascade|protein kinase activator activity|protein export from nucleus|protein serine/threonine kinase activity|signal transduction by protein phosphorylation|regulation of mitotic cell cycle|nucleoplasm|ATP binding|nucleus|protein binding|cytoplasm|cytosol|activation of protein kinase activity|positive regulation of protein serine/threonine kinase activity|kinase binding,STE20-related kinase adapter protein alpha,LYK5|STRAD,4,
Q8IVT2,MISP,GO:1905721|GO:1904776|GO:0005884|GO:0005886|GO:0051015|GO:0051301|GO:0000132|GO:0005623|GO:0031616|GO:0051640|GO:0005515|GO:0005925|GO:0051660|GO:0043231|GO:0016477|GO:0030864|GO:0090307,mitotic spindle astral microtubule end|regulation of protein localization to cell cortex|actin filament|plasma membrane|actin filament binding|cell division|establishment of mitotic spindle orientation|cell|spindle pole centrosome|organelle localization|protein binding|focal adhesion|establishment of centrosome localization|intracellular membrane-bounded organelle|cell migration|cortical actin cytoskeleton|mitotic spindle assembly,Mitotic interactor and substrate of PLK1,C19orf21,4,
Q13885,TUBB2A,GO:1903561|GO:0005200|GO:0000226|GO:0000278|GO:0005874|GO:0007017|GO:0005525|GO:0005634|GO:0001764|GO:0005515|GO:0070062|GO:0005737|GO:0003924,extracellular vesicle|structural constituent of cytoskeleton|microtubule cytoskeleton organization|mitotic cell cycle|microtubule|microtubule-based process|GTP binding|nucleus|neuron migration|protein binding|extracellular exosome|cytoplasm|GTPase activity,Tubulin beta-2A chain,TUBB2,4,
P83369,LSM11,GO:0005634|GO:0005515|GO:0016604|GO:1900087|GO:0006398|GO:0071204|GO:0008334|GO:0005683|GO:0005697|GO:0006369|GO:0071209|GO:0005654,nucleus|protein binding|nuclear body|positive regulation of G1/S transition of mitotic cell cycle|mRNA 3'-end processing by stem-loop binding and cleavage|histone pre-mRNA 3'end processing complex|histone mRNA metabolic process|U7 snRNP|telomerase holoenzyme complex|termination of RNA polymerase II transcription|U7 snRNA binding|nucleoplasm,U7 snRNA-associated Sm-like protein LSm11,,4,
Q8IW35,CEP97,GO:0005516|GO:0005813|GO:0005515|GO:0034451|GO:0097711|GO:1901673|GO:0005829|GO:1902018|GO:0032991,calmodulin binding|centrosome|protein binding|centriolar satellite|ciliary basal body-plasma membrane docking|regulation of mitotic spindle assembly|cytosol|negative regulation of cilium assembly|protein-containing complex,Centrosomal protein of 97 kDa,LRRIQ2,4,
P36507,MAP2K2,GO:0018108|GO:0005770|GO:1903800|GO:0005794|GO:0005078|GO:0005576|GO:0023014|GO:0005874|GO:0009898|GO:0090170|GO:0000165|GO:0000187|GO:0005524|GO:0004713|GO:0005769|GO:0004712|GO:0005925|GO:0045893|GO:0030165|GO:0005829|GO:0032147|GO:0036289|GO:0043539|GO:0031098|GO:0005783|GO:0004674|GO:0007346|GO:0005778|GO:0070371|GO:0005634|GO:0010629|GO:0097110|GO:0005515|GO:0005911|GO:0048471|GO:0046872|GO:0005737|GO:0005739|GO:0004708|GO:0032872|GO:0071902|GO:2000641,peptidyl-tyrosine phosphorylation|late endosome|positive regulation of production of miRNAs involved in gene silencing by miRNA|Golgi apparatus|MAP-kinase scaffold activity|extracellular region|signal transduction by protein phosphorylation|microtubule|cytoplasmic side of plasma membrane|regulation of Golgi inheritance|MAPK cascade|activation of MAPK activity|ATP binding|protein tyrosine kinase activity|early endosome|protein serine/threonine/tyrosine kinase activity|focal adhesion|positive regulation of transcription  DNA-templated|PDZ domain binding|cytosol|activation of protein kinase activity|peptidyl-serine autophosphorylation|protein serine/threonine kinase activator activity|stress-activated protein kinase signaling cascade|endoplasmic reticulum|protein serine/threonine kinase activity|regulation of mitotic cell cycle|peroxisomal membrane|ERK1 and ERK2 cascade|nucleus|negative regulation of gene expression|scaffold protein binding|protein binding|cell-cell junction|perinuclear region of cytoplasm|metal ion binding|cytoplasm|mitochondrion|MAP kinase kinase activity|regulation of stress-activated MAPK cascade|positive regulation of protein serine/threonine kinase activity|regulation of early endosome to late endosome transport,Dual specificity mitogen-activated protein kinase kinase 2,MEK2|MKK2|PRKMK2,1,23588995
P16035,TIMP2,GO:0034097|GO:0035580|GO:1905049|GO:0008285|GO:0062023|GO:0045666|GO:0002020|GO:0005178|GO:0045762|GO:0043025|GO:0005576|GO:1904813|GO:0030426|GO:0046580|GO:0051045|GO:0032487|GO:0010951|GO:0031012|GO:0008270|GO:0010033|GO:0022617|GO:1904724|GO:0045930|GO:0043312|GO:0043410|GO:0007568|GO:0009725|GO:0009986|GO:0030414|GO:0005615|GO:0005515|GO:0007417|GO:0042493|GO:0008191,response to cytokine|specific granule lumen|negative regulation of metallopeptidase activity|negative regulation of cell population proliferation|collagen-containing extracellular matrix|positive regulation of neuron differentiation|protease binding|integrin binding|positive regulation of adenylate cyclase activity|neuronal cell body|extracellular region|ficolin-1-rich granule lumen|growth cone|negative regulation of Ras protein signal transduction|negative regulation of membrane protein ectodomain proteolysis|regulation of Rap protein signal transduction|negative regulation of endopeptidase activity|extracellular matrix|zinc ion binding|response to organic substance|extracellular matrix disassembly|tertiary granule lumen|negative regulation of mitotic cell cycle|neutrophil degranulation|positive regulation of MAPK cascade|aging|response to hormone|cell surface|peptidase inhibitor activity|extracellular space|protein binding|central nervous system development|response to drug|metalloendopeptidase inhibitor activity,Metalloproteinase inhibitor 2,,4,
P04637,TP53,GO:0043504|GO:0008340|GO:0000978|GO:0008104|GO:0002360|GO:0006289|GO:0042771|GO:0000976|GO:1903800|GO:0000733|GO:0048512|GO:0097371|GO:0043621|GO:0002244|GO:0097252|GO:0003730|GO:0071494|GO:0051123|GO:0007406|GO:0005507|GO:0045892|GO:0001701|GO:0030308|GO:0045893|GO:0046982|GO:1990248|GO:0051087|GO:0034103|GO:0051402|GO:0035033|GO:0043516|GO:0019901|GO:0035035|GO:0035794|GO:0036003|GO:0019903|GO:0042826|GO:0065003|GO:0021549|GO:0090343|GO:0007265|GO:0006974|GO:0042149|GO:0000981|GO:0045899|GO:0001046|GO:0005634|GO:0071480|GO:0005515|GO:0031625|GO:0005759|GO:0006606|GO:0051097|GO:0072332|GO:0072331|GO:0001836|GO:0010666|GO:0016363|GO:0035264|GO:0009651|GO:0090399|GO:0031065|GO:0008285|GO:0097193|GO:0005730|GO:0045944|GO:1901525|GO:0043525|GO:0048539|GO:0006302|GO:1990144|GO:0003700|GO:0048147|GO:0019221|GO:0051262|GO:0001094|GO:0071158|GO:0050731|GO:2000379|GO:2000772|GO:2000378|GO:0016579|GO:0031571|GO:0033077|GO:0090200|GO:0009303|GO:1903799|GO:1905856|GO:0003682|GO:0060411|GO:0007369|GO:1902108|GO:1990440|GO:0003677|GO:0031965|GO:0005737|GO:0005739|GO:0070059|GO:0030512|GO:2000269|GO:0007050|GO:0016604|GO:0016605|GO:0062100|GO:0007179|GO:0001228|GO:0061419|GO:0005667|GO:0002039|GO:1902749|GO:0005669|GO:1990841|GO:0071850|GO:0006914|GO:0043153|GO:0005829|GO:0070245|GO:0071456|GO:0010332|GO:2001244|GO:0051721|GO:0008270|GO:0046827|GO:1904024|GO:1900740|GO:1901796|GO:0042981|GO:0048568|GO:0008156|GO:0033209|GO:0000790|GO:0002326|GO:0001085|GO:0001756|GO:0010628|GO:0047485|GO:0030330|GO:0032991|GO:0030971|GO:0051974|GO:0010165|GO:0035861|GO:0009299|GO:1902253|GO:0046677|GO:0002020|GO:0045861|GO:1902895|GO:0006983|GO:1900119|GO:0005654|GO:0000122|GO:0006978|GO:0005524|GO:0002931|GO:0006977|GO:0070266|GO:0016032|GO:0031497|GO:0034644|GO:0071479|GO:0090403|GO:0042802|GO:0060333|GO:0072717|GO:0035690|GO:0006355|GO:0060218|GO:0005783|GO:0008134|GO:0007569|GO:0005657|GO:0005813|GO:0043066|GO:0043065|GO:0002309|GO:0050821|GO:0019899|GO:0097718,mitochondrial DNA repair|determination of adult lifespan|RNA polymerase II cis-regulatory region sequence-specific DNA binding|protein localization|T cell lineage commitment|nucleotide-excision repair|intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator|transcription regulatory region sequence-specific DNA binding|positive regulation of production of miRNAs involved in gene silencing by miRNA|DNA strand renaturation|circadian behavior|MDM2/MDM4 family protein binding|protein self-association|hematopoietic progenitor cell differentiation|oligodendrocyte apoptotic process|mRNA 3'-UTR binding|cellular response to UV-C|RNA polymerase II preinitiation complex assembly|negative regulation of neuroblast proliferation|copper ion binding|negative regulation of transcription  DNA-templated|in utero embryonic development|negative regulation of cell growth|positive regulation of transcription  DNA-templated|protein heterodimerization activity|regulation of transcription from RNA polymerase II promoter in response to DNA damage|chaperone binding|regulation of tissue remodeling|neuron apoptotic process|histone deacetylase regulator activity|regulation of DNA damage response  signal transduction by p53 class mediator|protein kinase binding|histone acetyltransferase binding|positive regulation of mitochondrial membrane permeability|positive regulation of transcription from RNA polymerase II promoter in response to stress|protein phosphatase binding|histone deacetylase binding|protein-containing complex assembly|cerebellum development|positive regulation of cell aging|Ras protein signal transduction|cellular response to DNA damage stimulus|cellular response to glucose starvation|DNA-binding transcription factor activity  RNA polymerase II-specific|positive regulation of RNA polymerase II transcription preinitiation complex assembly|core promoter sequence-specific DNA binding|nucleus|cellular response to gamma radiation|protein binding|ubiquitin protein ligase binding|mitochondrial matrix|protein import into nucleus|negative regulation of helicase activity|intrinsic apoptotic signaling pathway by p53 class mediator|signal transduction by p53 class mediator|release of cytochrome c from mitochondria|positive regulation of cardiac muscle cell apoptotic process|nuclear matrix|multicellular organism growth|response to salt stress|replicative senescence|positive regulation of histone deacetylation|negative regulation of cell population proliferation|intrinsic apoptotic signaling pathway|nucleolus|positive regulation of transcription by RNA polymerase II|negative regulation of mitophagy|positive regulation of neuron apoptotic process|bone marrow development|double-strand break repair|intrinsic apoptotic signaling pathway in response to hypoxia|DNA-binding transcription factor activity|negative regulation of fibroblast proliferation|cytokine-mediated signaling pathway|protein tetramerization|TFIID-class transcription factor complex binding|positive regulation of cell cycle arrest|positive regulation of peptidyl-tyrosine phosphorylation|positive regulation of reactive oxygen species metabolic process|regulation of cellular senescence|negative regulation of reactive oxygen species metabolic process|protein deubiquitination|mitotic G1 DNA damage checkpoint|T cell differentiation in thymus|positive regulation of release of cytochrome c from mitochondria|rRNA transcription|negative regulation of production of miRNAs involved in gene silencing by miRNA|negative regulation of pentose-phosphate shunt|chromatin binding|cardiac septum morphogenesis|gastrulation|regulation of mitochondrial membrane permeability involved in apoptotic process|positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress|DNA binding|nuclear membrane|cytoplasm|mitochondrion|intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress|negative regulation of transforming growth factor beta receptor signaling pathway|regulation of fibroblast apoptotic process|cell cycle arrest|nuclear body|PML body|positive regulation of programmed necrotic cell death|transforming growth factor beta receptor signaling pathway|DNA-binding transcription activator activity  RNA polymerase II-specific|positive regulation of transcription from RNA polymerase II promoter in response to hypoxia|transcription regulator complex|p53 binding|regulation of cell cycle G2/M phase transition|transcription factor TFIID complex|promoter-specific chromatin binding|mitotic cell cycle arrest|autophagy|entrainment of circadian clock by photoperiod|cytosol|positive regulation of thymocyte apoptotic process|cellular response to hypoxia|response to gamma radiation|positive regulation of intrinsic apoptotic signaling pathway|protein phosphatase 2A binding|zinc ion binding|positive regulation of protein export from nucleus|negative regulation of glucose catabolic process to lactate via pyruvate|positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway|regulation of signal transduction by p53 class mediator|regulation of apoptotic process|embryonic organ development|negative regulation of DNA replication|tumor necrosis factor-mediated signaling pathway|nuclear chromatin|B cell lineage commitment|RNA polymerase II transcription factor binding|somitogenesis|positive regulation of gene expression|protein N-terminus binding|DNA damage response  signal transduction by p53 class mediator|protein-containing complex|receptor tyrosine kinase binding|negative regulation of telomerase activity|response to X-ray|site of double-strand break|mRNA transcription|regulation of intrinsic apoptotic signaling pathway by p53 class mediator|response to antibiotic|protease binding|negative regulation of proteolysis|positive regulation of pri-miRNA transcription by RNA polymerase II|ER overload response|positive regulation of execution phase of apoptosis|nucleoplasm|negative regulation of transcription by RNA polymerase II|DNA damage response  signal transduction by p53 class mediator resulting in transcription of p21 class mediator|ATP binding|response to ischemia|DNA damage response  signal transduction by p53 class mediator resulting in cell cycle arrest|necroptotic process|viral process|chromatin assembly|cellular response to UV|cellular response to ionizing radiation|oxidative stress-induced premature senescence|identical protein binding|interferon-gamma-mediated signaling pathway|cellular response to actinomycin D|cellular response to drug|regulation of transcription  DNA-templated|hematopoietic stem cell differentiation|endoplasmic reticulum|transcription factor binding|cell aging|replication fork|centrosome|negative regulation of apoptotic process|positive regulation of apoptotic process|T cell proliferation involved in immune response|protein stabilization|enzyme binding|disordered domain specific binding,Cellular tumor antigen p53,P53,1,31551253|31181622|29769307|28916678|15865929|9190891
Q92547,TOPBP1,GO:0006281|GO:0007095|GO:0016604|GO:0016605|GO:0008022|GO:0006260|GO:0005694|GO:0000794|GO:0001673|GO:0005654|GO:0043231|GO:0015629|GO:0010212|GO:0033314|GO:0006270|GO:0042802|GO:0000922|GO:1901796|GO:0006259|GO:0006974|GO:0005886|GO:0003677|GO:0005634|GO:0005515|GO:0005815|GO:0005737,DNA repair|mitotic G2 DNA damage checkpoint|nuclear body|PML body|protein C-terminus binding|DNA replication|chromosome|condensed nuclear chromosome|male germ cell nucleus|nucleoplasm|intracellular membrane-bounded organelle|actin cytoskeleton|response to ionizing radiation|mitotic DNA replication checkpoint|DNA replication initiation|identical protein binding|spindle pole|regulation of signal transduction by p53 class mediator|DNA metabolic process|cellular response to DNA damage stimulus|plasma membrane|DNA binding|nucleus|protein binding|microtubule organizing center|cytoplasm,DNA topoisomerase 2-binding protein 1,KIAA0259,4,
Q92538,GBF1,GO:0007030|GO:0015031|GO:1903420|GO:0000139|GO:0005794|GO:0002263|GO:0005793|GO:0005795|GO:0005547|GO:0005788|GO:0005802|GO:0005801|GO:0016032|GO:0005829|GO:0061162|GO:0006890|GO:0031252|GO:0034067|GO:0005086|GO:0090166|GO:0005085|GO:0080025|GO:0048205|GO:0006892|GO:0042147|GO:0006895|GO:0007346|GO:0005811|GO:0097111|GO:0098586|GO:0005777|GO:0006888|GO:1903409|GO:0005515|GO:2000008|GO:0005739|GO:0016020|GO:0070973|GO:0030593|GO:0032012,Golgi organization|protein transport|protein localization to endoplasmic reticulum tubular network|Golgi membrane|Golgi apparatus|cell activation involved in immune response|endoplasmic reticulum-Golgi intermediate compartment|Golgi stack|phosphatidylinositol-3 4 5-trisphosphate binding|endoplasmic reticulum lumen|trans-Golgi network|cis-Golgi network|viral process|cytosol|establishment of monopolar cell polarity|retrograde vesicle-mediated transport  Golgi to endoplasmic reticulum|cell leading edge|protein localization to Golgi apparatus|ARF guanyl-nucleotide exchange factor activity|Golgi disassembly|guanyl-nucleotide exchange factor activity|phosphatidylinositol-3 5-bisphosphate binding|COPI coating of Golgi vesicle|post-Golgi vesicle-mediated transport|retrograde transport  endosome to Golgi|Golgi to endosome transport|regulation of mitotic cell cycle|lipid droplet|endoplasmic reticulum-Golgi intermediate compartment organization|cellular response to virus|peroxisome|endoplasmic reticulum to Golgi vesicle-mediated transport|reactive oxygen species biosynthetic process|protein binding|regulation of protein localization to cell surface|mitochondrion|membrane|protein localization to endoplasmic reticulum exit site|neutrophil chemotaxis|regulation of ARF protein signal transduction,Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1,KIAA0248,4,
P51452,DUSP3,GO:0043409|GO:0042059|GO:0001772|GO:0005654|GO:0000188|GO:1990782|GO:0016791|GO:0005829|GO:0120183|GO:0016311|GO:0035335|GO:0019901|GO:0046329|GO:0045931|GO:0008138|GO:1990264|GO:0005634|GO:0051893|GO:0033549|GO:0050860|GO:0004725|GO:0070373|GO:0071364|GO:0050922|GO:0050868|GO:0008092|GO:0030971|GO:0030336,negative regulation of MAPK cascade|negative regulation of epidermal growth factor receptor signaling pathway|immunological synapse|nucleoplasm|inactivation of MAPK activity|protein tyrosine kinase binding|phosphatase activity|cytosol|positive regulation of focal adhesion disassembly|dephosphorylation|peptidyl-tyrosine dephosphorylation|protein kinase binding|negative regulation of JNK cascade|positive regulation of mitotic cell cycle|protein tyrosine/serine/threonine phosphatase activity|peptidyl-tyrosine dephosphorylation involved in inactivation of protein kinase activity|nucleus|regulation of focal adhesion assembly|MAP kinase phosphatase activity|negative regulation of T cell receptor signaling pathway|protein tyrosine phosphatase activity|negative regulation of ERK1 and ERK2 cascade|cellular response to epidermal growth factor stimulus|negative regulation of chemotaxis|negative regulation of T cell activation|cytoskeletal protein binding|receptor tyrosine kinase binding|negative regulation of cell migration,Dual specificity protein phosphatase 3,VHR,4,
Q7Z2Y5,NRK,GO:0031098|GO:0008285|GO:0007256|GO:0048812|GO:0004674|GO:0023014|GO:0060721|GO:0007346|GO:0007567|GO:0005524|GO:0005737|GO:0032147|GO:0031532,stress-activated protein kinase signaling cascade|negative regulation of cell population proliferation|activation of JNKK activity|neuron projection morphogenesis|protein serine/threonine kinase activity|signal transduction by protein phosphorylation|regulation of spongiotrophoblast cell proliferation|regulation of mitotic cell cycle|parturition|ATP binding|cytoplasm|activation of protein kinase activity|actin cytoskeleton reorganization,Nik-related protein kinase,,4,
Q86W33,TPRA1,GO:0040016|GO:0004930|GO:0005515|GO:0007186|GO:0006629|GO:1901991|GO:0016021|GO:0007568,embryonic cleavage|G protein-coupled receptor activity|protein binding|G protein-coupled receptor signaling pathway|lipid metabolic process|negative regulation of mitotic cell cycle phase transition|integral component of membrane|aging,Transmembrane protein adipocyte-associated 1,GPR175|TMEM227|PP6566,4,
Q8IVH8,MAP4K3,GO:0031098|GO:0004672|GO:0007254|GO:0009411|GO:0004674|GO:0006468|GO:0008349|GO:0023014|GO:0007346|GO:0005524|GO:0000185|GO:0005515|GO:0005737|GO:0032147|GO:0035556|GO:0034612,stress-activated protein kinase signaling cascade|protein kinase activity|JNK cascade|response to UV|protein serine/threonine kinase activity|protein phosphorylation|MAP kinase kinase kinase kinase activity|signal transduction by protein phosphorylation|regulation of mitotic cell cycle|ATP binding|activation of MAPKKK activity|protein binding|cytoplasm|activation of protein kinase activity|intracellular signal transduction|response to tumor necrosis factor,Mitogen-activated protein kinase kinase kinase kinase 3,RAB8IPL1,4,
Q86VI3,IQGAP3,GO:0016328|GO:0008361|GO:0007265|GO:0070371|GO:0051015|GO:0000187|GO:0010629|GO:0005516|GO:0005911|GO:0032956|GO:0071310|GO:0005737|GO:0010628|GO:0000082|GO:0043087|GO:0048365|GO:0005829|GO:0017048|GO:0070856|GO:0017016|GO:0033601,lateral plasma membrane|regulation of cell size|Ras protein signal transduction|ERK1 and ERK2 cascade|actin filament binding|activation of MAPK activity|negative regulation of gene expression|calmodulin binding|cell-cell junction|regulation of actin cytoskeleton organization|cellular response to organic substance|cytoplasm|positive regulation of gene expression|G1/S transition of mitotic cell cycle|regulation of GTPase activity|Rac GTPase binding|cytosol|Rho GTPase binding|myosin VI light chain binding|Ras GTPase binding|positive regulation of mammary gland epithelial cell proliferation,Ras GTPase-activating-like protein IQGAP3,,4,
P68371,TUBB4B,GO:1903561|GO:0042288|GO:0043312|GO:0051082|GO:0005200|GO:0042267|GO:0000226|GO:0005576|GO:0000278|GO:0005874|GO:0007017|GO:0005525|GO:0005634|GO:0000086|GO:0005515|GO:0005856|GO:0070062|GO:0003725|GO:0005737|GO:0003924|GO:0097711|GO:0005829|GO:0010389|GO:0035578,extracellular vesicle|MHC class I protein binding|neutrophil degranulation|unfolded protein binding|structural constituent of cytoskeleton|natural killer cell mediated cytotoxicity|microtubule cytoskeleton organization|extracellular region|mitotic cell cycle|microtubule|microtubule-based process|GTP binding|nucleus|G2/M transition of mitotic cell cycle|protein binding|cytoskeleton|extracellular exosome|double-stranded RNA binding|cytoplasm|GTPase activity|ciliary basal body-plasma membrane docking|cytosol|regulation of G2/M transition of mitotic cell cycle|azurophil granule lumen,Tubulin beta-4B chain,TUBB2C,4,
Q8TBC4,UBA3,GO:0016922|GO:0042802|GO:0006464|GO:0007113|GO:0045116|GO:0043687|GO:0044877|GO:0005524|GO:0005634|GO:0005515|GO:0045892|GO:0046982|GO:0005737|GO:0006508|GO:0019781|GO:0005829|GO:0032991|GO:0051726|GO:0019788|GO:0032446,nuclear receptor binding|identical protein binding|cellular protein modification process|endomitotic cell cycle|protein neddylation|post-translational protein modification|protein-containing complex binding|ATP binding|nucleus|protein binding|negative regulation of transcription  DNA-templated|protein heterodimerization activity|cytoplasm|proteolysis|NEDD8 activating enzyme activity|cytosol|protein-containing complex|regulation of cell cycle|NEDD8 transferase activity|protein modification by small protein conjugation,NEDD8-activating enzyme E1 catalytic subunit,UBE1C,4,
P68366,TUBA4A,GO:0019901|GO:0015630|GO:0005200|GO:0000226|GO:0005576|GO:0000278|GO:0005874|GO:0007017|GO:0002576|GO:0005525|GO:0000086|GO:0005515|GO:0005856|GO:0070062|GO:0005737|GO:0003924|GO:0097711|GO:0005829|GO:0010389,protein kinase binding|microtubule cytoskeleton|structural constituent of cytoskeleton|microtubule cytoskeleton organization|extracellular region|mitotic cell cycle|microtubule|microtubule-based process|platelet degranulation|GTP binding|G2/M transition of mitotic cell cycle|protein binding|cytoskeleton|extracellular exosome|cytoplasm|GTPase activity|ciliary basal body-plasma membrane docking|cytosol|regulation of G2/M transition of mitotic cell cycle,Tubulin alpha-4A chain,TUBA1,4,
P68363,TUBA1B,GO:0015630|GO:0005198|GO:0005200|GO:0005881|GO:0000226|GO:0000278|GO:0005874|GO:0007017|GO:0051301|GO:0005525|GO:0005515|GO:0031625|GO:0030705|GO:0003725|GO:0005737|GO:0003924|GO:0045121|GO:0071353,microtubule cytoskeleton|structural molecule activity|structural constituent of cytoskeleton|cytoplasmic microtubule|microtubule cytoskeleton organization|mitotic cell cycle|microtubule|microtubule-based process|cell division|GTP binding|protein binding|ubiquitin protein ligase binding|cytoskeleton-dependent intracellular transport|double-stranded RNA binding|cytoplasm|GTPase activity|membrane raft|cellular response to interleukin-4,Tubulin alpha-1B chain,,4,
Q9HAW4,CLSPN,GO:0016579|GO:0006281|GO:0007095|GO:0006260|GO:0000217|GO:0005794|GO:0005654|GO:0000077|GO:0005634|GO:0000076|GO:0005515|GO:0032147|GO:0010997|GO:0018105|GO:0033314,protein deubiquitination|DNA repair|mitotic G2 DNA damage checkpoint|DNA replication|DNA secondary structure binding|Golgi apparatus|nucleoplasm|DNA damage checkpoint|nucleus|DNA replication checkpoint|protein binding|activation of protein kinase activity|anaphase-promoting complex binding|peptidyl-serine phosphorylation|mitotic DNA replication checkpoint,Claspin,,4,
Q6DKK2,TTC19,GO:0005813|GO:0005515|GO:0034551|GO:0000281|GO:0005739|GO:0055114|GO:0030496|GO:0005743|GO:0070469,centrosome|protein binding|mitochondrial respiratory chain complex III assembly|mitotic cytokinesis|mitochondrion|oxidation-reduction process|midbody|mitochondrial inner membrane|respirasome,Tetratricopeptide repeat protein 19| mitochondrial,,4,
P46527,CDKN1B,GO:0007050|GO:0048839|GO:0007096|GO:0004861|GO:0004860|GO:0044877|GO:0007605|GO:0009749|GO:0001666|GO:0045892|GO:0030308|GO:0071850|GO:0043231|GO:0051087|GO:0005829|GO:0031116|GO:0030544|GO:0019901|GO:0045737|GO:0019903|GO:0045732|GO:0045930|GO:1904706|GO:0043434|GO:0045736|GO:0005634|GO:0071285|GO:0005515|GO:0007219|GO:0031464|GO:0032355|GO:0030332|GO:0010942|GO:0071407|GO:0008285|GO:0008284|GO:0043200|GO:0045786|GO:0051271|GO:0045787|GO:0001890|GO:0000079|GO:0005654|GO:0006813|GO:0007507|GO:0005768|GO:0006977|GO:0048102|GO:0000082|GO:0033673|GO:0071236|GO:1904030|GO:0060770|GO:1905179|GO:0046686|GO:0042326|GO:1902746|GO:0005737|GO:0042493|GO:0043066,cell cycle arrest|inner ear development|regulation of exit from mitosis|cyclin-dependent protein serine/threonine kinase inhibitor activity|protein kinase inhibitor activity|protein-containing complex binding|sensory perception of sound|response to glucose|response to hypoxia|negative regulation of transcription  DNA-templated|negative regulation of cell growth|mitotic cell cycle arrest|intracellular membrane-bounded organelle|chaperone binding|cytosol|positive regulation of microtubule polymerization|Hsp70 protein binding|protein kinase binding|positive regulation of cyclin-dependent protein serine/threonine kinase activity|protein phosphatase binding|positive regulation of protein catabolic process|negative regulation of mitotic cell cycle|negative regulation of vascular smooth muscle cell proliferation|response to peptide hormone|negative regulation of cyclin-dependent protein serine/threonine kinase activity|nucleus|cellular response to lithium ion|protein binding|Notch signaling pathway|Cul4A-RING E3 ubiquitin ligase complex|response to estradiol|cyclin binding|positive regulation of cell death|cellular response to organic cyclic compound|negative regulation of cell population proliferation|positive regulation of cell population proliferation|response to amino acid|negative regulation of cell cycle|negative regulation of cellular component movement|positive regulation of cell cycle|placenta development|regulation of cyclin-dependent protein serine/threonine kinase activity|nucleoplasm|potassium ion transport|heart development|endosome|DNA damage response  signal transduction by p53 class mediator resulting in cell cycle arrest|autophagic cell death|G1/S transition of mitotic cell cycle|negative regulation of kinase activity|cellular response to antibiotic|negative regulation of cyclin-dependent protein kinase activity|negative regulation of epithelial cell proliferation involved in prostate gland development|negative regulation of cardiac muscle tissue regeneration|response to cadmium ion|negative regulation of phosphorylation|regulation of lens fiber cell differentiation|cytoplasm|response to drug|negative regulation of apoptotic process,Cyclin-dependent kinase inhibitor 1B,KIP1,1,22158041
P26045,PTPN3,GO:0006470|GO:0045930|GO:0042059|GO:0005886|GO:0009898|GO:0001784|GO:0017080|GO:0097421|GO:0005515|GO:0005856|GO:0004725|GO:0005737|GO:0051045|GO:2000649|GO:0098902|GO:0008092|GO:0035335|GO:0051117,protein dephosphorylation|negative regulation of mitotic cell cycle|negative regulation of epidermal growth factor receptor signaling pathway|plasma membrane|cytoplasmic side of plasma membrane|phosphotyrosine residue binding|sodium channel regulator activity|liver regeneration|protein binding|cytoskeleton|protein tyrosine phosphatase activity|cytoplasm|negative regulation of membrane protein ectodomain proteolysis|regulation of sodium ion transmembrane transporter activity|regulation of membrane depolarization during action potential|cytoskeletal protein binding|peptidyl-tyrosine dephosphorylation|ATPase binding,Tyrosine-protein phosphatase non-receptor type 3,PTPH1,3,
